2024-04-09 17:51:43.330 [info] Log level: Info
2024-04-09 17:51:43.330 [info] Validating found git in: "git"
2024-04-09 17:51:43.330 [info] Using git "2.39.2" from "git"
2024-04-09 17:51:43.332 [info] > git rev-parse --show-toplevel [3ms]
2024-04-09 17:51:43.338 [info] > git rev-parse --show-toplevel [2ms]
2024-04-09 17:51:43.400 [info] > git rev-parse --show-toplevel [1ms]
2024-04-09 17:51:43.424 [info] > git rev-parse --show-toplevel [2ms]
2024-04-09 17:51:44.499 [info] > git rev-parse --show-toplevel [3ms]
2024-04-09 17:51:44.503 [info] > git rev-parse --show-toplevel [1ms]
2024-04-09 20:58:29.950 [info] > git rev-parse --show-toplevel [1ms]
2024-04-09 21:01:02.849 [info] > git rev-parse --show-toplevel [3ms]
2024-04-09 21:01:04.328 [info] > git rev-parse --show-toplevel [2ms]
2024-04-09 21:01:13.763 [info] > git rev-parse --show-toplevel [2ms]
2024-04-09 21:02:48.465 [info] > git rev-parse --show-toplevel [3ms]
2024-04-09 21:02:54.673 [info] > git rev-parse --show-toplevel [2ms]
2024-04-09 21:03:19.141 [info] > git rev-parse --show-toplevel [3ms]
2024-04-09 21:03:51.227 [info] > git rev-parse --show-toplevel [1ms]
2024-04-09 21:03:55.970 [info] > git rev-parse --show-toplevel [1ms]
2024-04-09 21:04:02.633 [info] > git rev-parse --show-toplevel [2ms]
2024-04-09 21:04:42.777 [info] > git rev-parse --show-toplevel [2ms]
2024-04-09 21:04:50.497 [info] > git rev-parse --show-toplevel [3ms]
2024-04-09 21:05:34.536 [info] > git rev-parse --show-toplevel [3ms]
2024-04-09 21:05:40.904 [info] > git rev-parse --show-toplevel [1ms]
2024-04-09 21:06:14.111 [info] > git rev-parse --show-toplevel [2ms]
2024-04-09 21:06:14.119 [info] > git rev-parse --show-toplevel [1ms]
2024-04-09 21:06:17.565 [info] > git rev-parse --show-toplevel [1ms]
2024-04-09 21:07:50.400 [info] > git rev-parse --show-toplevel [2ms]
2024-04-09 21:07:50.406 [info] > git rev-parse --show-toplevel [1ms]
2024-04-09 21:07:52.092 [info] > git rev-parse --show-toplevel [2ms]
2024-04-09 22:03:58.304 [info] > git rev-parse --show-toplevel [2ms]
2024-04-09 22:04:01.095 [info] > git rev-parse --show-toplevel [2ms]
2024-04-09 22:06:26.230 [info] > git rev-parse --show-toplevel [1ms]
2024-04-09 22:06:31.182 [info] > git rev-parse --show-toplevel [2ms]
2024-04-09 22:21:42.580 [info] > git rev-parse --show-toplevel [1ms]
2024-04-09 22:33:04.406 [info] > git rev-parse --show-toplevel [1ms]
2024-04-09 22:33:09.645 [info] > git rev-parse --show-toplevel [1ms]
