2024-04-09 17:51:42.906 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-04-09 17:51:42.907 [info] Added views:workbench.panel.output in workbench.panel.output
2024-04-09 17:51:42.907 [info] Added views:terminal in terminal
2024-04-09 17:51:42.907 [info] Added views:outline in workbench.view.explorer
2024-04-09 17:51:42.907 [info] Added views:workbench.scm in workbench.view.scm
2024-04-09 17:51:42.907 [info] Added views:workbench.view.search in workbench.view.search
2024-04-09 17:51:42.907 [info] Added views:timeline in workbench.view.explorer
2024-04-09 17:51:42.907 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-04-09 17:51:43.084 [info] Added views:remoteTargets in workbench.view.remote
2024-04-09 17:51:43.201 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-09 17:51:43.225 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-04-09 17:51:43.428 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-04-09 20:58:30.916 [info] Added views:workbench.view.testing in workbench.view.extension.test
2024-04-09 21:00:57.026 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2024-04-09 21:01:11.866 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-09 21:01:11.889 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-09 21:01:47.725 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-09 21:01:47.745 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-09 21:02:52.978 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-09 21:02:52.999 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-09 21:03:17.423 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-09 21:03:17.431 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-09 21:03:42.706 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-09 21:03:42.724 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-09 21:03:49.388 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-09 21:03:49.392 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-09 21:03:58.987 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-09 21:03:59.003 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-09 21:05:26.192 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-09 21:05:26.199 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-09 21:05:37.209 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-09 21:05:37.227 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-09 22:03:56.845 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-09 22:03:56.851 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-09 22:04:00.978 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-09 22:04:00.994 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-09 22:06:25.312 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-09 22:06:25.318 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-09 22:06:29.042 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-09 22:06:29.058 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-09 22:33:03.148 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-09 22:33:03.154 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-09 22:33:07.454 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-09 22:33:07.472 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
