2024-04-11 17:35:22.868 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-11 17:35:22.877 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-11 17:35:26.688 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-11 17:35:26.699 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-11 17:39:07.773 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-11 17:39:07.781 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-11 17:39:11.120 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-11 17:39:11.150 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-11 19:13:39.174 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-11 19:13:39.182 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-11 19:16:03.636 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-11 19:16:03.652 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-11 19:17:34.203 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-11 19:17:34.214 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-11 19:17:54.108 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-11 19:17:54.125 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-11 19:18:54.717 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-11 19:18:54.739 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-11 19:20:55.291 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-11 19:20:55.310 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-11 19:21:18.588 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-11 19:21:18.597 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-11 19:21:40.686 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-11 19:21:40.704 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-11 19:21:51.373 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-11 19:21:51.380 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-11 19:21:54.659 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-11 19:21:54.670 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-11 19:22:45.911 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-11 19:22:45.919 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-11 19:22:51.615 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-11 19:22:51.630 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-11 19:23:15.206 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-11 19:23:15.228 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-11 19:36:11.086 [info] Removed views:workbench.view.testing from workbench.view.extension.test
