2024-04-11 15:13:11.753 [info] Log level: Info
2024-04-11 15:13:11.753 [info] Validating found git in: "git"
2024-04-11 15:13:11.753 [info] Using git "2.39.2" from "git"
2024-04-11 15:13:11.753 [info] > git rev-parse --show-toplevel [22ms]
2024-04-11 15:13:11.753 [info] > git rev-parse --show-toplevel [4ms]
2024-04-11 15:13:11.760 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:13:11.766 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:13:11.774 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:13:12.098 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:13:25.315 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:13:25.323 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:16:51.756 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:16:51.817 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:16:51.823 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:18:02.993 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:18:03.019 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:18:03.026 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:18:28.948 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:18:28.970 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:18:28.979 [info] > git rev-parse --show-toplevel [3ms]
2024-04-11 15:18:37.561 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:18:37.584 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:18:37.593 [info] > git rev-parse --show-toplevel [3ms]
2024-04-11 15:19:42.199 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:19:42.252 [info] > git rev-parse --show-toplevel [3ms]
2024-04-11 15:19:42.260 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:20:19.005 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:20:19.041 [info] > git rev-parse --show-toplevel [3ms]
2024-04-11 15:20:19.048 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:20:48.970 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:20:48.989 [info] > git rev-parse --show-toplevel [3ms]
2024-04-11 15:20:48.996 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:20:51.944 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:20:51.981 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:20:51.987 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:20:51.993 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:24:37.040 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:24:37.063 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:24:37.070 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:24:42.685 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:24:42.701 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:24:42.706 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:25:00.722 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:25:00.761 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:25:00.769 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:25:45.018 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:25:45.034 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:25:45.042 [info] > git rev-parse --show-toplevel [4ms]
2024-04-11 15:25:54.396 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:25:54.410 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:25:54.416 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:25:55.821 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:25:55.857 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:25:55.863 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:25:55.868 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:26:26.310 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:26:26.327 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:26:26.332 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:28:10.397 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:28:10.420 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:28:10.425 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:30:10.037 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:30:10.057 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:30:10.063 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:32:19.635 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:33:52.785 [info] > git rev-parse --show-toplevel [4ms]
2024-04-11 15:39:43.125 [info] > git rev-parse --show-toplevel [3ms]
2024-04-11 15:39:45.358 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:39:55.003 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 15:39:57.356 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:40:12.758 [info] > git rev-parse --show-toplevel [3ms]
2024-04-11 15:40:25.383 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:48:29.875 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 15:55:20.965 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 16:02:37.762 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:03:12.937 [info] > git rev-parse --show-toplevel [6ms]
2024-04-11 16:03:12.986 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:03:12.993 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 16:03:38.207 [info] > git rev-parse --show-toplevel [0ms]
2024-04-11 16:03:38.220 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:03:38.228 [info] > git rev-parse --show-toplevel [3ms]
2024-04-11 16:03:41.891 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:03:41.903 [info] > git rev-parse --show-toplevel [3ms]
2024-04-11 16:03:49.359 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 16:03:49.374 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:03:49.383 [info] > git rev-parse --show-toplevel [4ms]
2024-04-11 16:05:05.374 [info] > git rev-parse --show-toplevel [0ms]
2024-04-11 16:05:05.391 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:05:05.398 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:05:19.336 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 16:05:19.383 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 16:05:19.390 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 16:06:51.826 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:06:51.837 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:06:51.845 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:06:56.202 [info] > git rev-parse --show-toplevel [0ms]
2024-04-11 16:06:56.216 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:06:56.225 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:07:25.065 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 16:10:19.741 [info] > git rev-parse --show-toplevel [2ms]
2024-04-11 16:10:47.025 [info] > git rev-parse --show-toplevel [1ms]
2024-04-11 16:13:03.777 [info] > git rev-parse --show-toplevel [1ms]
